Time(s),Source cell ID,Destination cell ID
2,18,2
2,16,15
2,4,1
2,13,9
3,13,14
4,15,11
4,14,15
4,14,13
5,12,13
7,16,1
7,8,4
8,6,10
8,2,18
8,16,1
9,11,6
11,6,3
12,1,16
12,6,3
13,18,2
13,5,9
15,15,10
15,2,1
17,12,1
17,1,2
18,10,6
18,4,8
19,10,6
19,9,14
19,1,16
20,10,9
21,10,5
21,13,8
21,8,7
21,3,2
23,12,7
23,14,9
23,1,4
24,2,1
24,14,15
25,5,10
25,7,8
25,15,14
25,6,11
26,14,10
27,2,18
27,4,1
28,6,10
28,2,1
29,10,6
29,2,3
30,9,13
30,1,2
30,10,14
31,10,15
32,2,1
32,8,13
32,1,4
33,13,14
34,5,10
34,6,2
34,8,7
35,3,2
35,1,2
36,11,15
36,14,15
37,15,18
38,7,8
38,18,17
38,4,1
39,6,10
39,13,8
40,1,2
40,18,17
40,1,4
41,2,3
42,2,5
43,7,12
43,12,17
43,8,7
44,14,9
45,2,1
46,1,2
47,12,7
48,7,12
48,2,1
48,13,9
48,8,3
49,2,6
50,9,13
50,7,6
51,14,13
52,4,16
53,10,11
53,18,2
53,16,1
54,11,10
54,17,12
54,16,4
54,5,9
55,9,5
56,13,7
56,7,8
56,8,19
56,18,3
56,2,5
57,5,9
58,15,14
59,13,7
60,15,19
60,4,16
60,3,18
61,3,2
61,16,4
61,5,2
62,18,3
62,16,4
63,10,9
63,10,6
64,3,6
64,9,5
65,6,3
65,2,5
66,1,16
68,6,10
73,6,2
73,2,6
75,3,6
75,12,17
75,16,19
78,8,7
78,10,6
79,4,5
79,16,1
79,4,16
81,19,8
81,7,12
82,5,9
82,1,16
83,9,14
84,16,1
85,10,6
85,14,9
85,6,3
86,8,19
86,16,4
87,12,1
87,11,6
89,17,14
92,6,11
93,15,10
94,6,11
94,19,8
95,15,11
95,4,16
96,9,5
97,3,19
98,2,6
98,12,13
99,19,3
100,6,7
102,11,12
103,8,19
103,5,9
103,13,12
104,7,8
104,3,19
104,19,8
105,11,6
105,3,6
106,11,6
106,9,5
106,4,5
107,5,4
108,19,16
108,4,1
109,9,10
109,1,4
109,12,13
110,8,19
111,19,18
111,19,3
113,16,11
114,6,2
116,7,6
118,3,8
118,6,7
118,16,4
118,7,12
119,2,6
119,18,19
120,6,10
121,19,18
122,18,15
123,8,13
123,1,16
123,7,6
124,9,10
124,1,12
125,4,5
126,10,9
126,5,4
127,14,17
129,7,13
130,5,2
131,10,6
131,10,9
132,5,9
132,4,19
133,19,8
133,9,5
134,2,5
134,9,10
136,5,9
137,10,9
137,6,2
138,6,2
138,16,1
139,2,6
139,8,19
141,16,1
142,2,6
143,5,9
143,16,1
143,13,9
144,9,5
144,1,4
146,11,16
147,9,14
147,15,18
147,4,5
147,6,7
148,7,6
149,17,2
149,14,10
149,19,4
150,19,8
151,2,17
151,6,2
151,8,19
151,5,4
152,5,2
152,8,7
152,19,8
152,6,7
152,7,12
154,4,5
157,11,10
157,18,19
158,2,3
159,13,8
161,17,2
163,4,19
164,12,11
164,2,17
164,12,11
165,5,2
165,2,6
165,3,18
166,7,8
166,18,3
167,12,1
167,4,19
168,6,2
168,19,3
169,8,7
170,2,5
170,17,1
170,1,12
171,6,5
171,19,4
172,5,1
172,6,10
173,6,10
173,3,19
175,13,7
175,19,3
176,10,11
176,14,13
177,17,14
178,7,13
178,2,6
